window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
105,137717986230965,991.0,490.8,413.9,86.3,60.8,440.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,989.0,889.6,502.6,509.0,974.4
106,137717991174656,1034.2,493.7,448.1,92.5,57.5,448.9,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1032.2,925.3,507.8,516.6,1018.0
107,137717996214874,496.1,123.0,346.6,26.4,11.7,459.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,494.0,393.9,86.2,90.5,480.5
108,137718000682833,541.2,126.7,381.4,33.1,13.3,502.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,539.4,446.5,113.1,123.5,525.3
109,137718005195506,902.0,126.1,732.9,42.9,22.5,796.8,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,899.7,796.8,93.7,98.0,886.6
110,137718010098293,1084.2,445.8,558.2,80.3,52.2,449.3,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1082.4,991.9,502.7,517.7,1068.8
111,137718015192205,1899.4,910.8,794.7,194.0,91.8,1695.9,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1897.9,1695.9,937.2,950.8,1884.7
112,137718021036638,1196.9,482.9,517.3,196.8,106.5,45.3,kernel_add_rmsnorm_70@25/0-worker,Prepare hardware matmul job@24/?-work_queue,1194.8,1095.2,629.5,692.9,1171.6
113,137718026275951,953.4,483.0,389.7,80.7,51.0,454.1,rx collecting results@147/0-RX-10,prepare streams@25/0-worker,951.5,850.5,506.4,518.6,938.0
114,137718031269259,857.5,501.1,273.0,83.4,55.0,451.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,855.4,751.6,507.8,515.4,841.6
115,137718036104382,1720.3,751.2,726.9,242.3,86.5,1608.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1718.0,1264.6,549.9,616.3,1703.8
